timestamp_ms,ue_imsi,cell_id,is_serving,rsrp_dbm,rsrq_db,rssi_dbm,sinr_db,rsrp_3gpp,rsrq_3gpp,sinr_3gpp
301,3,4,0,-102.641,-31.051,-57.1184,-20.2181,53,24,6
301,3,5,0,-83.7043,-12.1143,-57.1184,4.48583,72,62,55
301,4,2,0,-102.77,-31.7464,-56.552,-20.9196,53,23,4
301,4,3,0,-108.778,-37.7543,-56.552,-26.9537,47,10,0
301,4,4,0,-84.336,-13.3125,-56.552,1.04163,72,59,48
301,4,5,1,-85.4807,-14.4572,-56.552,-1.22411,71,57,44
301,5,2,0,-101.73,-25.4777,-61.7806,-14.5357,54,35,17
301,5,3,1,-95.9328,-19.6806,-61.7806,-8.28818,60,47,29
301,5,4,0,-87.8936,-11.6415,-61.7806,6.65362,68,63,59
301,5,5,0,-105.715,-29.4627,-61.7806,-18.6115,50,27,9
301,6,2,0,-109.656,-39.4699,-55.7145,-28.6721,46,7,0
301,6,3,0,-113.477,-43.2908,-55.7145,-32.4965,43,0,0
301,6,4,0,-109.104,-38.9178,-55.7145,-28.1193,47,8,0
301,6,5,1,-80.9939,-10.8079,-55.7145,24.3072,75,64,95
301,7,2,0,-96.348,-40.0498,-41.8266,-29.2529,60,6,0
301,7,3,0,-102.537,-46.2387,-41.8266,-35.4456,53,0,0
301,7,4,1,-67.097,-10.7988,-41.8266,27.9261,89,64,102
301,7,5,0,-106.012,-49.714,-41.8266,-38.9217,50,0,0
301,8,2,0,-97.6091,-15.6903,-67.4471,-3.1999,58,55,40
301,8,3,0,-108.259,-26.3403,-67.4471,-15.4257,48,33,15
301,8,4,1,-98.0032,-16.0844,-67.4471,-3.77068,58,54,38
301,8,5,0,-97.279,-15.3603,-67.4471,-2.70255,59,55,41
301,9,2,0,-76.519,-10.9129,-51.1346,15.4876,79,64,77
301,9,3,0,-98.0532,-32.447,-51.1346,-21.6254,58,21,3
301,9,4,1,-93.4195,-27.8133,-51.1346,-16.9344,63,30,12
301,9,5,0,-107.827,-42.221,-51.1346,-31.4261,48,2,0
301,10,2,0,-72.8614,-14.912,-43.4777,-1.99314,83,56,42
301,10,3,0,-107.807,-49.8572,-43.4777,-39.0649,48,0,0
301,10,4,0,-96.2922,-38.3429,-43.4777,-27.5434,60,9,0
301,10,5,1,-70.8817,-12.9323,-43.4777,1.95848,85,60,50
401,1,2,0,-99.1788,-31.0715,-53.6357,-20.2388,57,24,6
401,1,3,0,-79.173,-11.0657,-53.6357,11.8652,77,64,70
401,1,4,0,-108.659,-40.5517,-53.6357,-29.7553,47,5,0
401,1,5,1,-91.8639,-23.7566,-53.6357,-12.7396,64,38,21
401,2,2,0,-103.991,-42.4158,-47.1037,-31.621,52,1,0
401,2,3,0,-111.281,-49.7061,-47.1037,-38.9137,45,0,0
401,2,4,0,-110.975,-49.4002,-47.1037,-38.6078,45,0,0
401,2,5,1,-72.3714,-10.7961,-47.1037,30.0529,84,64,106
401,3,2,0,-90.6524,-18.0148,-58.166,-6.31035,65,50,33
401,3,3,1,-100.422,-27.7849,-58.166,-16.9054,56,30,12
401,3,4,0,-104.707,-32.0694,-58.166,-21.2451,51,22,4
401,3,5,0,-84.4939,-11.8564,-58.166,5.563,72,62,57
401,4,2,0,-101.716,-29.5354,-57.7092,-18.6852,54,27,9
401,4,3,0,-108.938,-36.7577,-57.7092,-25.9548,47,12,0
401,4,4,0,-86.5638,-14.3831,-57.7092,-1.09328,69,57,44
401,4,5,1,-85.598,-13.4172,-57.7092,0.807344,70,59,48
401,5,2,0,-103.919,-26.3214,-63.1256,-15.4063,52,33,15
401,5,3,1,-94.5779,-16.9807,-63.1256,-4.9942,61,52,36
401,5,4,0,-89.8594,-12.2622,-63.1256,3.94773,66,61,54
401,5,5,0,-105.982,-28.3848,-63.1256,-17.5167,50,29,11
401,6,2,0,-108.348,-37.6454,-56.2314,-26.8446,48,11,0
401,6,3,0,-112.846,-42.1434,-56.2314,-31.3484,43,2,0
401,6,4,0,-109.246,-38.5435,-56.2314,-27.7444,47,9,0
401,6,5,1,-81.5154,-10.8125,-56.2314,23.2197,74,64,92
401,7,2,0,-95.922,-40.1825,-41.2679,-29.3857,60,6,0
401,7,3,0,-100.506,-44.7663,-41.2679,-33.9728,55,0,0
