timestamp,ue_id,x_est,y_est,x_true,y_true
1784546886896,7,463.859099157055,671.346324331521,462.615,671.443
1784546886996,7,463.867336411418,670.963195526312,462.736,671.107
1784546887096,7,463.873105703291,670.578067917421,462.857,670.77
1784546887196,7,463.87640073009,670.190937211019,462.978,670.434
1784546887296,7,463.877225366793,669.801799942122,463.099,670.097
1784546887396,7,463.875584721452,669.410652803591,463.22,669.761
1784546887496,7,463.871466773199,669.017492650778,463.341,669.425
1784546887596,7,463.864856294581,668.62231689426,463.462,669.088
1784546887696,7,463.855737311562,668.225124436528,463.583,668.752
1784546887796,7,463.844083734545,667.825917202595,463.704,668.416
1784546887896,7,463.829857052454,667.424700785965,463.825,668.079
1784546887996,7,463.81300638787,667.021483867019,463.946,667.743
1784546888096,7,463.793471312475,666.616279138516,464.067,667.407
1784546888196,7,463.771195795697,666.209103518038,464.188,667.07
1784546888296,7,463.746139662443,665.799979044919,464.309,666.734
1784546888396,7,463.718270079697,665.388934629288,464.43,666.397
1784546888496,7,463.687558461694,664.976007324869,464.551,666.061
1784546888596,7,463.653977660787,664.561240844269,464.672,665.725
1784546888696,7,463.6174954608,664.144682893234,464.793,665.388
1784546888796,7,463.578073156824,663.726384248386,464.914,665.052
1784546888896,7,463.535662232386,663.306396629102,465.035,664.716
1784546888996,7,463.490190565869,662.884775298134,465.156,664.379
1784546889096,7,463.441559092304,662.461579922969,465.277,664.043
1784546889196,7,463.389641826067,662.036876474597,465.398,663.707
1784546889296,7,463.334286030345,661.610740551128,465.519,663.37
1784546889396,7,463.275313705525,661.183259433711,465.641,663.034
1784546889496,7,463.21252759317,660.754533006013,465.762,662.697
1784546889596,7,463.145715726251,660.324674964464,465.883,662.361
1784546889696,7,463.074652485321,659.893812382132,465.839,661.94
1784546889796,7,462.99910385318,659.462085137668,465.637,661.439
1784546889896,7,462.918847522139,659.02964449387,465.436,660.937
1784546889996,7,462.833676592067,658.596651505155,465.234,660.436
1784546890096,7,462.743393575238,658.163276973889,465.033,659.934
1784546890196,7,462.647805957183,657.729700930193,464.831,659.433
1784546890296,7,462.54671362385,657.296112140402,464.63,658.931
1784546890396,7,462.439908347061,656.862708470423,464.428,658.429
1784546890496,7,462.327182584874,656.429694268296,464.226,657.928
1784546890596,7,462.20832980567,655.997279994072,464.025,657.426
1784546890696,7,462.083147599345,655.565679743053,463.823,656.925
